"","Vcmax","Jmax","Rd","CompPoint","Ci.transition","Treatment","Year","Site","Rep","ID"
"1",57.2994515529324,117.372125112435,0.820308492990373,55.646334751801,478.738214384325,"wet",2010,"S02",2,"1"
"2",68.9269411154369,128.615896828163,-2.44772892911034,19.7752986414164,387.265429347251,"dry",2010,"S11",2,"119"
"3",58.9056687771375,120.392517543493,-1.22803705596978,30.0484038635959,474.418594447359,"wet",2010,"S11",2,"119"
"4",77.9028984194853,127.895583553242,0.356466057457619,48.3628805594418,297.725162938324,"dry",2010,"S11",2,"120"
"5",75.3998770184903,158.173187466409,0.441691817348617,49.3102577914477,477.664775860873,"wet",2010,"S11",2,"120"
"6",53.2037133175587,97.4085435834906,-3.41968276432776,1.00006245874455,386.345446501942,"dry",2010,"S11",2,"121"
"7",66.5148127765526,132.51974962642,-0.838282509869269,35.9146533587683,442.148641817382,"wet",2010,"S11",2,"121"
"8",63.7237277750591,119.818087276867,1.43348881560786,61.7817554567834,398.222729256055,"dry",2010,"S11",2,"122"
"9",68.3419146124634,128.327159201182,2.11045492178104,68.2858350629304,392.385130481413,"wet",2010,"S11",2,"122"
"10",59.6798501061846,129.18470057563,0.729908952537228,54.0768847765045,532.516296755174,"dry",2010,"S11",2,"123"
"11",86.4439254911948,136.17845866503,-0.00137781522190452,45.0158639914772,270.794588010416,"wet",2010,"S11",2,"123"
"12",57.7847839013349,109.172862560603,0.454485464666934,50.8024674473509,406.91574688916,"dry",2010,"S11",2,"124"
"13",61.3971087360769,123.766666895225,1.0762712569666,58.2054055522274,457.011883041275,"wet",2010,"S11",2,"124"
"14",61.3971087360769,123.766666895225,1.0762712569666,58.2054055522274,457.011883041275,"wet",NA,"",2,"124"
"15",55.6304417787937,116.018562448061,-0.819131422815069,34.3465278326814,499.030600188124,"dry",2010,"S11",2,"125"
"16",424.468760133743,113.218442779354,-5.24947397922106,36.0095478657209,44.9752525386486,"wet",2010,"S11",2,"125"
"17",66.1718720994935,129.31163802145,0.557159361919428,51.2028948105385,426.609319164864,"dry",2016,"S11",2,"144"
"18",61.1996543407467,131.201665014507,0.832506983714489,55.0651321326201,520.441176291446,"wet",2016,"S11",2,"144"
"19",54.8124844513727,108.291021665764,0.192573682760559,47.5572577851737,448.16630447731,"dry",2016,"S11",2,"145a"
"20",76.9273833559545,121.599062697176,-0.437300460778244,40.875871302228,277.576420840494,"wet",2016,"S11",2,"145a"
"21",73.6197845392529,114.41988826176,-0.432123108103695,40.7312272582177,270.486259081224,"dry",2016,"S11",2,"145b"
"22",62.6397432338906,117.504101499204,0.369945195388305,49.3960398103262,396.518601095235,"wet",2016,"S11",2,"145b"
"23",63.6869210982335,125.400526944503,-1.10300805335035,32.4966294391715,435.570038994389,"dry",2016,"S11",2,"146a"
"24",64.9272682357898,138.619284730863,-1.04345695320679,33.2678391427789,511.600239201146,"wet",2016,"S11",2,"146a"
"25",53.9933204683487,105.88709417938,-0.689325207138568,35.7609528793325,442.01613920344,"dry",2016,"S11",2,"146b"
"26",69.0598315575226,134.815087924661,0.695789937799235,52.5027886094049,421.993680836798,"wet",2016,"S11",2,"146b"
"27",79.9759804751586,127.78953170441,1.43300682275793,58.3440947435918,281.76058968227,"dry",2016,"S11",2,"147a"
"28",67.6920776078284,126.604022131777,2.04207382875739,67.7742412779904,389.497523464806,"wet",2016,"S11",2,"147a"
"29",63.0108032113565,97.2184100573104,-2.37014986439382,18.3628203110893,271.569619334672,"dry",2016,"S11",2,"147b"
"30",64.9313060730344,124.104053752188,-1.70813266206044,26.2094053384798,409.234915669725,"wet",2016,"S11",2,"147b"
"31",38.2507326571372,83.8240889513665,-1.46162511036173,18.0290314782093,578.061480921941,"dry",2010,"S15",2,"148"
"32",53.6680038191402,110.546041465965,0.532208856786431,52.3459153498706,488.721326569962,"wet",2010,"S15",2,"148"
"33",38.1869928359897,87.28944569751,1.34237435557168,71.6368721443434,635.16099346081,"dry",2010,"S15",2,"149"
"34",74.5786630827469,121.109000446735,-1.65928774981036,29.0892839763132,293.184979334073,"wet",2010,"S15",2,"149"
"35",45.6576875023448,96.4694323270158,1.0718194092707,62.6124291179169,525.1770035961,"dry",2010,"S15",2,"152"
"36",71.8028130156478,145.050360015122,0.740755779820306,52.6098596665703,448.656404201446,"wet",2010,"S15",2,"152"
"37",53.6767255846851,107.882242255379,0.761527628239095,55.5490177591062,464.756972412025,"dry",2010,"S15",2,"153"
"38",65.2846903540638,132.636536419005,0.631252551876906,52.1479327242248,461.499450429003,"wet",2010,"S15",2,"153"
"39",49.7249248591768,108.700696013773,-1.90986302138205,17.8659766736996,558.325566074171,"dry",2010,"S15",2,"154"
"40",37.4766037498233,74.8544576683204,0.141489609403509,47.7508372532657,476.275892909983,"wet",2010,"S15",2,"154"
"41",69.8583097504852,139.448829536439,0.0248094164036171,45.2495482154278,440.505289522596,"dry",2010,"S15",2,"155"
"42",56.6904909544229,140.177586564149,2.68971410681661,81.2882008984219,716.486097965794,"wet",2010,"S15",2,"155"
"43",64.0127828462634,129.945477382003,-1.39732216788824,29.3523129591752,461.89554221096,"dry",2015,"S15",2,"164"
"44",54.2284347567124,111.174895866111,0.889902053459598,57.2171014318672,483.364969387798,"wet",2015,"S15",2,"164"
"45",47.5241464972269,93.7070043432248,-2.67208979726222,5.74360161458934,453.748804273326,"dry",2015,"S15",2,"166"
"46",58.6661880247878,124.855960897507,0.628086833014616,52.941192431751,515.692469291545,"wet",2015,"S15",2,"166"
"47",28.1148115598933,67.5723398803683,1.06242459789678,73.6742354924473,734.496402066174,"dry",2015,"S15",2,"167"
"48",67.0473076948875,137.63133476552,0.634490165740067,52.0043566829418,468.692358950304,"wet",2015,"S15",2,"167"
"49",43.870374996146,104.539353311483,0.100632561115769,46.7330175184938,686.45045063997,"dry",2015,"S15",2,"169"
"50",63.7478691401026,129.82388802373,2.29732032626098,72.3196231929328,465.087278665619,"wet",2015,"S15",2,"169"
"51",50.3264282106267,107.224346309433,-0.977097103706516,31.101847034982,527.83620794292,"dry",2015,"S15",2,"170"
"52",114.646766640909,159.717425753313,-1.97826315922124,32.5402421816103,204.4270174389,"wet",2015,"S15",2,"170"
"53",68.3118244327036,138.899355015577,1.44132228926718,60.7896394759265,458.108620844297,"dry",2015,"S15",2,"172"
"54",80.6849949138416,160.776057880865,2.14381198627619,64.9855096519598,425.53996358245,"wet",2015,"S15",2,"172"
"55",56.6278875110063,104.086527826521,-1.98943577813025,19.9688105382339,386.774854860489,"dry",2010,"S16",2,"183"
"56",47.3463001777204,104.745732148369,0.609593047377936,54.5581939611591,577.235225405065,"wet",2010,"S16",2,"183"
"57",54.1723614756804,105.245502667068,0.308573376898594,49.2010464096108,433.61099849358,"dry",2010,"S16",2,"184"
"58",58.2447217195635,116.623194020228,0.897541162993332,56.4606492504,456.267349897781,"wet",2010,"S16",2,"184"
"59",48.9995412922012,93.5499171790542,0.593589683386812,54.0107629509407,423.086191458711,"dry",2010,"S16",2,"185"
"60",38.3594583334119,93.7830798254235,0.181006831784208,48.4536095540703,742.946245931458,"wet",2010,"S16",2,"185"
"61",42.0601390748629,81.1269388437215,-1.75442575285889,15.4493788068017,439.216213650589,"dry",2010,"S16",2,"186"
"62",46.7000951906721,90.8885157735813,-0.122175082421113,43.0889632203203,442.401071139137,"wet",2010,"S16",2,"186"
"63",61.5472664174626,128.054629669124,0.811118871921953,54.8043933080305,488.449727491107,"wet",2010,"S16",2,"187"
"64",60.5636173600656,123.079760098007,0.952656407585924,56.7282219482723,467.011971677405,"dry",2010,"S16",2,"189"
"65",51.8139102982451,122.580269887018,2.84695167836193,87.3445150987316,659.792457311252,"wet",2010,"S16",2,"189"
"66",37.4631720436484,88.5637069591027,1.66002228823635,78.8146406899574,688.270941374116,"dry",2010,"S16",2,"190"
"67",35.5293561238308,100.690164572368,0.875886239765452,63.5219887147675,1091.26853483035,"wet",2010,"S16",2,"190"
"68",51.4121951100219,105.395874536666,0.613752409900418,53.8572253536854,486.650154444954,"dry",2016,"S16",2,"211"
"69",68.2426523262536,151.508350218179,2.77374951882307,75.9092672228014,546.636514709075,"wet",2016,"S16",2,"211"
"70",58.4187118745256,116.051440881261,0.88198094629028,56.25787239723,448.520414442669,"wet",2016,"S16",2,"212"
"71",35.0929955278143,78.6349210140656,0.110712856464289,47.3158909307554,613.499837285579,"dry",2016,"S16",2,"213"
"72",68.1459486178325,149.80567213908,0.18246944718705,46.9743595933712,535.793978606406,"wet",2016,"S16",2,"213"
"73",42.661534498471,91.3994173171584,1.01129333343037,62.801714054531,544.680866933457,"dry",2016,"S16",2,"217"
"74",44.6249532720633,93.39105318552,0.655212957926918,55.8952894498517,516.773102681812,"wet",2016,"S16",2,"217"
"75",38.9261459768702,86.7901823804757,-0.305253232552289,39.3532016024221,599.785076721489,"dry",2016,"S16",2,"218"
"76",55.3484927611,114.243260441409,-0.36681312556764,40.1917326064346,488.668937622335,"wet",2016,"S16",2,"218"
"77",43.090343443256,88.9428551766559,-1.79831523125864,15.6255467080206,502.68023719288,"dry",2016,"S16",2,"219"
"78",50.3959486775066,109.501335441356,0.148374496599257,47.2000358869011,550.522012745156,"wet",2016,"S16",2,"219"
"79",52.1499403084725,111.431522366294,0.53491970534371,52.592046262869,529.439162067489,"dry",2014,"S02",2,"28"
"80",41.6160029802463,92.3649565123233,0.868214531247061,60.5863564461085,590.416860757501,"wet",2014,"S02",2,"28"
"81",37.8715801941731,95.0348231839038,-0.817149693688713,29.5674885263018,789.512447160515,"dry",2014,"S02",2,"29"
"82",48.6900724041866,102.16677167567,0.913725101111545,59.005015499871,514.09411796399,"wet",2014,"S02",2,"29"
"83",55.0730240685136,105.831112722819,-1.88586448640691,20.7729541316452,422.529243579464,"dry",2010,"S02",2,"3"
"84",44.5697525012152,95.0181296070041,0.295604292735275,49.8906609417394,537.34687245216,"wet",2010,"S02",2,"3"
"85",51.1445583004106,106.036032645666,-0.304105182389189,40.6768721183643,498.486051650671,"wet",2014,"S02",2,"30"
"86",66.3341852237129,136.437905832406,1.62894224648809,63.4165958673884,471.353054016557,"dry",2014,"S02",2,"32"
"87",42.9359530507887,98.1219671992011,0.235368355580418,49.0666347136177,627.005690791994,"wet",2014,"S02",2,"32"
"88",68.3519493216958,105.59299057867,-2.04034001544346,23.729038285896,269.772694247199,"dry",2011,"S36",2,"342"
